Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IIH
"Zhao, the Moon Slayer",R,R,49251,4.89,7478,6.94,23163,47.60%,53.60%,4244,53.30%,5455,51.00%,9699,52.00%,13466,54.70%,-2.7pp
"Zuko, Exiled Prince",R,U,90881,4.64,14297,6.15,66378,71.00%,53.60%,11306,52.10%,16473,53.60%,27779,53.00%,38637,54.00%,-1.1pp
Allies at Last,G,U,69615,3.57,20308,4.22,122453,86.70%,56.80%,20469,56.90%,30318,60.40%,50787,59.00%,71611,55.10%,3.8pp
Avatar Destiny,G,R,45961,5,5652,7.35,9685,25.50%,50.00%,1632,45.50%,2272,47.50%,3904,46.70%,5781,52.30%,-5.6pp
Badgermole,G,C,312427,6.06,48448,8.32,214193,66.60%,55.90%,35824,55.10%,53002,57.90%,88826,56.70%,124435,55.30%,1.5pp
Badgermole Cub,G,M,7256,1.77,3880,1.86,31206,85.10%,57.30%,5723,66.10%,7628,60.30%,13351,62.80%,17671,53.10%,9.7pp
"The Boulder, Ready to Rumble",G,U,85858,4.39,16237,5.65,83244,77.10%,55.40%,14011,56.40%,20677,56.10%,34688,56.20%,48482,54.60%,1.6pp
"Bumi, King of Three Trials",G,U,88768,4.49,15696,5.85,68690,66.80%,53.50%,11473,50.00%,18074,56.50%,29547,54.00%,38344,52.80%,1.2pp
Cycle of Renewal,G,C,323198,6.43,39056,9.25,113205,45.10%,51.40%,20119,49.90%,28480,51.20%,48599,50.60%,63664,52.00%,-1.4pp
Diligent Zookeeper,G,R,28826,3.48,7411,4.09,38484,70.00%,55.10%,6481,56.50%,9656,56.30%,16137,56.40%,22257,54.20%,2.2pp
The Earth King,G,R,12222,1.76,7489,1.81,64276,91.90%,58.10%,11238,66.40%,15965,62.70%,27203,64.30%,36121,53.30%,11.0pp
