"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Mudbutton Cursetosser","B","U","88634","4.95","15810","6.30","66045","65.6%","54.9%","11919","60.5%","15419","55.1%","27338","57.5%","37286","52.5%","4.9pp"
"Nameless Inversion","B","U","52377","3.06","17786","3.55","104027","88.2%","54.9%","18347","55.5%","25248","57.0%","43595","56.4%","58129","53.3%","3.1pp"
"Nightmare Sower","B","U","92030","5.19","12671","7.19","31983","40.8%","49.7%","5428","48.9%","8450","52.8%","13878","51.3%","18250","48.5%","2.8pp"
"Perfect Intimidation","B","U","119488","6.71","12643","10.22","8322","10.5%","47.7%","1369","44.9%","1997","49.2%","3366","47.4%","4965","47.9%","-0.5pp"
"Requiting Hex","B","U","86753","4.71","13624","6.37","53417","62.6%","52.2%","9232","52.5%","12876","52.8%","22108","52.7%","31334","51.8%","0.9pp"
"Retched Wretch","B","U","98794","5.47","14226","7.53","50096","56.4%","52.8%","8839","52.4%","12084","53.9%","20923","53.3%","28412","52.1%","1.2pp"
"Scarblade Scout","B","C","243485","5.18","48750","6.64","246764","78.2%","56.5%","44557","58.3%","55294","56.7%","99851","57.4%","143667","55.6%","1.9pp"
"Scarblade's Malice","B","C","298813","6.53","36446","9.56","90539","39.1%","53.2%","15131","52.1%","21528","55.6%","36659","54.1%","53926","52.6%","1.6pp"
"Shimmercreep","B","U","96103","5.08","17640","6.84","61671","56.0%","51.8%","10209","50.0%","16435","57.1%","26644","54.4%","34468","49.6%","4.8pp"
"Taster of Wares","B","R","17245","2.79","6550","3.02","43711","81.9%","55.8%","7675","60.6%","10865","60.6%","18540","60.6%","24323","51.7%","8.9pp"
"Twilight Diviner","B","R","20442","3.06","5792","3.59","31205","75.2%","54.5%","5603","55.9%","7527","56.3%","13130","56.1%","17684","53.0%","3.1pp"
