"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Desculpting Blast","U","U","107162","3.90","28799","4.93","147697","84.0%","55.5%","25725","53.9%","41813","59.2%","67538","57.2%","78528","53.9%","3.3pp"
"Divert Disaster","U","C","383628","6.30","62120","8.91","178466","47.2%","55.3%","31601","56.1%","49633","56.9%","81234","56.6%","96026","54.0%","2.6pp"
"Emissary Escort","U","R","27355","2.71","9593","3.03","48928","84.8%","54.0%","8748","56.1%","13591","56.9%","22339","56.6%","26091","51.7%","4.9pp"
"Gigastorm Titan","U","U","94860","3.59","29328","4.36","152563","85.9%","55.0%","25835","55.6%","43998","57.2%","69833","56.6%","81154","53.5%","3.1pp"
"Illvoi Galeblade","U","C","389133","6.36","59110","9.14","165071","46.4%","54.0%","29549","53.9%","43763","55.2%","73312","54.7%","85879","52.8%","1.9pp"
"Illvoi Infiltrator","U","U","101328","3.86","24809","4.89","118120","79.9%","53.5%","20755","54.9%","33137","54.2%","53892","54.5%","63360","52.5%","2.0pp"
"Illvoi Light Jammer","U","C","404208","7.01","56507","10.14","94465","27.6%","53.9%","15625","53.2%","25950","56.3%","41575","55.1%","52139","52.8%","2.3pp"
"Illvoi Operative","U","C","383382","6.32","56821","9.12","165035","48.3%","53.3%","29248","53.5%","45055","54.2%","74303","53.9%","89593","52.8%","1.2pp"
"Lost in Space","U","C","391148","6.36","70463","8.83","218024","50.9%","55.4%","36391","52.8%","61942","58.3%","98333","56.3%","117657","54.6%","1.7pp"
"Mechan Assembler","U","U","90923","3.47","21421","4.43","104348","82.6%","52.4%","17346","50.5%","30165","55.3%","47511","53.6%","55613","51.3%","2.3pp"
"Mechan Navigator","U","U","117616","4.32","25551","5.75","123151","80.3%","54.1%","22276","55.4%","33778","55.0%","56054","55.2%","66318","53.1%","2.0pp"
"Mechan Shieldmate","U","C","399197","6.77","54394","9.88","121007","37.2%","52.1%","21646","51.7%","33124","53.2%","54770","52.6%","65537","51.6%","1.0pp"
"Mechanozoa","U","C","347469","5.33","56855","7.70","231865","67.6%","54.0%","39076","51.0%","66688","57.6%","105764","55.1%","122732","52.7%","2.5pp"
"Mental Modulation","U","C","401299","6.86","54480","9.96","95551","29.3%","52.9%","16695","50.3%","26456","55.2%","43151","53.3%","51621","52.5%","0.8pp"
"Mm'menon, the Right Hand","U","R","27050","2.78","7206","3.07","30878","74.6%","50.3%","5177","45.7%","9037","52.9%","14214","50.3%","16278","49.8%","0.4pp"
"Moonlit Meditation","U","R","54795","5.14","6993","7.98","4486","10.8%","44.7%","721","37.4%","1143","41.6%","1864","40.0%","2584","48.0%","-8.0pp"
"Mouth of the Storm","U","U","101676","3.90","33696","4.51","173181","83.7%","56.0%","28637","53.7%","50072","60.4%","78709","58.0%","92864","54.0%","4.0pp"
"Nanoform Sentinel","U","C","396917","6.82","56123","9.84","128717","38.1%","53.2%","22480","52.4%","35878","55.3%","58358","54.2%","69578","52.2%","2.0pp"
"Quantum Riddler","U","M","6668","1.42","5410","1.39","31948","92.7%","58.3%","5756","64.0%","9085","67.2%","14841","66.0%","16745","51.4%","14.5pp"
"Scour for Scrap","U","U","154167","6.17","24710","8.70","54079","36.4%","53.0%","8936","50.3%","16032","57.0%","24968","54.6%","28650","51.5%","3.1pp"
"Selfcraft Mechan","U","C","335184","5.12","71469","6.87","323173","74.5%","55.0%","54625","54.1%","94560","57.7%","149185","56.4%","170345","53.5%","2.9pp"
"Sinister Cryologist","U","C","420598","8.03","49161","11.67","14083","4.8%","48.9%","2430","44.2%","3709","50.5%","6139","48.0%","7876","49.6%","-1.6pp"
"Specimen Freighter","U","U","99500","3.74","24176","4.82","114203","78.5%","54.4%","18921","52.1%","32316","58.1%","51237","55.9%","61062","52.9%","3.0pp"
"Starbreach Whale","U","C","372242","5.87","53970","8.63","153982","47.8%","52.6%","27391","49.6%","43405","55.3%","70796","53.1%","81914","52.0%","1.1pp"
"Starfield Vocalist","U","R","22309","2.31","9532","2.42","48916","86.8%","53.1%","8310","50.9%","13828","55.4%","22138","53.7%","26395","52.4%","1.3pp"
"Starwinder","U","R","20178","2.14","9827","2.17","50875","86.4%","54.1%","8235","53.4%","14582","58.4%","22817","56.6%","27566","51.9%","4.7pp"
"Steelswarm Operator","U","U","125395","4.75","19482","6.70","74469","64.7%","51.9%","13281","51.8%","20717","52.7%","33998","52.4%","39985","51.4%","0.9pp"
"Synthesizer Labship","U","R","21610","2.21","10970","2.26","58949","87.4%","56.2%","10362","62.5%","16916","58.0%","27278","59.7%","30583","52.9%","6.8pp"
"Tractor Beam","U","U","81708","3.14","31028","3.62","168312","88.5%","55.8%","28148","55.2%","48616","59.9%","76764","58.2%","89180","53.4%","4.7pp"
"Unravel","U","U","148338","5.81","24290","8.19","63102","43.0%","54.1%","10864","52.3%","18444","57.2%","29308","55.4%","33238","52.7%","2.7pp"
"Uthros Psionicist","U","U","97506","3.79","29439","4.50","151236","84.4%","55.4%","26803","57.0%","42381","57.6%","69184","57.4%","80828","53.5%","3.9pp"
"Uthros Scanship","U","U","111963","4.15","26056","5.41","121045","76.4%","55.1%","20472","55.2%","34303","58.1%","54775","57.0%","64825","53.4%","3.6pp"
"Weftwalking","U","M","13566","2.74","6377","2.80","32074","82.5%","55.6%","5317","53.2%","9329","61.7%","14646","58.6%","17013","52.7%","6.0pp"
"Alpharael, Stonechosen","B","M","14730","2.97","2565","3.75","8243","55.0%","50.4%","1392","47.8%","2160","52.3%","3552","50.5%","4622","50.1%","0.4pp"
