"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Brain Freeze","U","R","10877","4.40","2461","5.34","9394","61.1%","53.5%","1589","48.8%","3144","58.7%","4733","55.4%","4248","49.7%","5.6pp"
"Cyclonic Rift","U","M","2216","1.94","1143","2.02","6492","89.7%","54.8%","1066","53.8%","1944","61.4%","3010","58.7%","3277","50.4%","8.3pp"
"Daze","U","R","11048","4.28","2455","5.25","10999","70.3%","55.4%","1870","56.3%","3240","59.9%","5110","58.6%","5628","52.3%","6.3pp"
"Deduce","U","U","118173","5.07","22271","6.84","105273","74.7%","54.6%","18785","55.2%","31355","58.4%","50140","57.2%","53006","51.8%","5.5pp"
"Disdainful Stroke","U","U","111460","4.82","22498","6.31","111375","78.6%","54.2%","19239","53.3%","33244","59.0%","52483","56.9%","56002","51.0%","5.9pp"
"Flusterstorm","U","M","6218","4.92","822","7.18","1302","25.8%","48.7%","238","","388","","626","48.6%","661","48.4%","0.2pp"
"Force of Will","U","M","3314","2.74","955","3.19","4135","70.6%","53.4%","696","52.9%","1229","59.2%","1925","56.9%","2058","49.4%","7.5pp"
"Pongify","U","R","13650","5.50","1378","8.80","1491","17.6%","47.0%","272","","421","","693","47.9%","758","46.3%","1.6pp"
"Preordain","U","R","9922","3.86","2041","5.06","10102","78.6%","54.1%","1828","53.6%","2987","57.9%","4815","56.2%","5074","51.8%","4.4pp"
"Sleight of Hand","U","U","122649","5.37","19542","7.54","78677","64.4%","53.4%","13977","53.6%","23751","57.2%","37728","55.9%","39598","51.0%","4.9pp"
"Spell Pierce","U","U","134792","6.27","18103","9.02","48600","42.9%","52.7%","8435","52.6%","14058","56.9%","22493","55.3%","25154","50.0%","5.2pp"
"Stock Up","U","U","62644","2.79","25103","3.13","146509","91.0%","55.6%","25812","57.1%","43776","61.6%","69588","60.0%","73590","51.1%","8.8pp"
"Ad Nauseam","B","M","6473","5.22","740","8.06","317","6.8%","","50","","73","","123","","191","",""
