"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Walk-In Closet // Forgotten Cellar","G","M","30149","4.67","3934","6.86","4842","20.9%","49.1%","750","46.7%","1291","52.6%","2041","50.4%","2785","48.3%","2.2pp"
"Wary Watchdog","G","C","399227","4.97","73824","6.85","376437","83.8%","54.9%","67143","56.0%","86441","55.5%","153584","55.7%","222374","54.3%","1.4pp"
"Wickerfolk Thresher","G","U","94588","2.93","28101","3.57","156232","92.1%","54.6%","26257","53.6%","38205","56.0%","64462","55.0%","92072","54.3%","0.7pp"
"Arabella, Abandoned Doll","WR","U","111864","3.86","30525","4.35","144648","76.2%","57.5%","25367","60.7%","31283","58.3%","56650","59.4%","88025","56.3%","3.1pp"
"Baseball Bat","WG","U","166090","5.82","21335","8.23","47992","38.1%","51.0%","7906","49.0%","10312","52.4%","18218","50.9%","29774","51.0%","-0.0pp"
"Beastie Beatdown","RG","U","138048","4.51","33466","5.49","147242","72.0%","55.4%","24376","55.5%","33284","59.6%","57660","57.9%","89520","53.9%","4.0pp"
"Broodspinner","BG","U","111920","3.64","32862","4.25","157212","78.1%","55.9%","27235","58.8%","39687","60.3%","66922","59.7%","89933","53.0%","6.7pp"
"Disturbing Mirth","BR","U","148025","5.07","34028","5.95","130089","62.5%","56.1%","22181","58.1%","32043","61.4%","54224","60.1%","75602","53.2%","6.9pp"
"Drag to the Roots","BG","U","128038","4.06","28043","5.17","130394","76.5%","54.8%","21390","54.0%","33255","59.3%","54645","57.2%","75290","53.0%","4.3pp"
"Fear of Infinity","UB","U","145675","4.80","24445","6.51","85158","59.1%","52.1%","14522","52.5%","22630","55.0%","37152","54.0%","48152","50.7%","3.3pp"
"Gremlin Tamer","WU","U","94387","3.26","31415","3.55","156421","80.9%","56.6%","27521","61.8%","40662","58.8%","68183","60.0%","88336","54.0%","6.0pp"
"Growing Dread","UG","U","126398","4.20","31862","5.03","146358","75.7%","55.4%","25566","57.7%","38585","58.3%","64151","58.1%","82157","53.4%","4.7pp"
"Inquisitive Glimmer","WU","U","113514","3.77","27620","4.48","130669","77.7%","55.8%","22730","58.6%","33479","56.7%","56209","57.4%","74586","54.6%","2.9pp"
"Intruding Soulrager","UR","U","189784","6.83","27843","9.37","55263","33.5%","51.6%","9486","51.7%","14689","54.0%","24175","53.1%","31123","50.5%","2.6pp"
"The Jolly Balloon Man","WR","R","35969","2.93","11686","3.22","53310","75.8%","54.0%","9016","52.9%","11838","55.3%","20854","54.3%","32368","53.7%","0.5pp"
"Kaito, Bane of Nightmares","UB","M","11285","1.94","5283","1.95","23946","75.9%","53.7%","4102","57.1%","6423","59.3%","10525","58.5%","13365","50.0%","8.5pp"
"Marina Vendrell","WUBRG","R","77607","5.69","11177","8.26","8095","12.2%","45.4%","1273","46.3%","2163","52.7%","3436","50.3%","4663","41.7%","8.6pp"
"Midnight Mayhem","WR","U","124268","4.16","33793","4.78","154672","73.4%","57.9%","25654","59.6%","33202","62.5%","58856","61.2%","95788","55.9%","5.3pp"
"Nashi, Searcher in the Dark","UB","R","49784","3.90","9770","4.90","28626","50.2%","50.8%","4951","55.0%","7766","52.8%","12717","53.6%","15886","48.5%","5.1pp"
"Niko, Light of Hope","WU","M","11019","1.87","6457","1.84","33046","84.9%","55.3%","5494","59.2%","8722","60.2%","14216","59.8%","18867","52.0%","7.8pp"
"Oblivious Bookworm","UG","U","112216","3.67","38011","4.01","183196","78.3%","56.7%","31675","62.9%","48717","59.1%","80392","60.6%","102980","53.6%","7.0pp"
"Peer Past the Veil","RG","R","67981","4.91","11671","6.84","33979","48.3%","53.2%","5474","49.7%","7801","55.4%","13275","53.1%","20681","53.3%","-0.3pp"
"Restricted Office // Lecture Hall","WU","R","45145","3.48","10085","4.21","42049","69.9%","54.1%","6973","52.3%","10425","56.8%","17398","55.0%","24539","53.5%","1.5pp"
"Rip, Spawn Hunter","WG","R","43345","3.49","8356","4.28","29670","60.0%","52.1%","4988","52.9%","6876","54.4%","11864","53.8%","17799","50.8%","3.0pp"
"Rite of the Moth","WB","U","149639","5.10","23074","6.79","73768","54.1%","52.1%","11975","50.9%","18675","57.0%","30650","54.6%","42727","50.2%","4.4pp"
"Roaring Furnace // Steaming Sauna","UR","R","36205","3.02","14347","3.09","68903","79.6%","54.6%","12125","60.8%","17920","60.0%","30045","60.3%","38161","50.1%","10.2pp"
"Sawblade Skinripper","BR","U","146363","4.90","28634","6.19","110842","63.9%","54.7%","19035","53.9%","27553","57.5%","46588","56.0%","64260","53.7%","2.3pp"
"Shrewd Storyteller","WG","U","158463","5.49","19147","7.89","51194","45.3%","51.4%","8679","51.6%","11088","50.0%","19767","50.7%","31154","51.6%","-0.9pp"
"Shroudstomper","WB","U","148166","5.02","24094","6.65","77284","53.9%","52.5%","11808","51.9%","19720","57.3%","31528","55.3%","45627","50.6%","4.7pp"
"Skullsnap Nuisance","UB","U","173721","6.00","23323","8.48","56086","41.1%","50.8%","9646","52.1%","15264","52.5%","24910","52.4%","31124","49.5%","2.8pp"
"Smoky Lounge // Misty Salon","UR","U","161829","5.61","31314","7.11","87960","48.0%","50.4%","15047","50.2%","24251","55.5%","39298","53.4%","47794","47.7%","5.8pp"
"The Swarmweaver","BG","R","22485","1.91","13867","1.89","77357","89.2%","57.3%","13415","63.4%","20012","65.7%","33427","64.8%","43617","51.6%","13.2pp"
"Undead Sprinter","BR","R","42816","3.47","12094","3.88","49164","67.2%","55.0%","8756","59.0%","11808","56.2%","20564","57.4%","28678","53.3%","4.1pp"
"Victor, Valgavoth's Seneschal","WB","R","44148","3.53","8739","4.32","28575","56.4%","49.8%","4827","49.5%","7396","52.2%","12223","51.1%","16318","48.8%","2.3pp"
"Wildfire Wickerfolk","RG","U","129891","4.33","32264","5.11","145442","73.1%","56.5%","25574","59.3%","32271","58.7%","57845","59.0%","87644","54.8%","4.1pp"
"Winter, Misanthropic Guide","BRG","R","71115","5.31","9105","7.98","10275","19.0%","48.6%","1709","47.1%","2561","49.4%","4270","48.5%","6002","48.7%","-0.2pp"
"Zimone, All-Questioning","UG","R","27116","2.31","14340","2.28","75195","85.0%","56.3%","13108","65.3%","19391","59.4%","32499","61.8%","42708","52.1%","9.6pp"
"Attack-in-the-Box","","U","204927","7.19","23535","10.62","26847","19.0%","51.8%","4600","49.5%","6061","51.4%","10661","50.5%","16173","52.6%","-2.1pp"
"Bear Trap","","C","508717","8.13","58207","11.72","38406","11.0%","51.6%","6510","50.4%","9277","52.2%","15787","51.5%","22604","51.7%","-0.2pp"
"Conductive Machete","","U","143245","4.14","33075","5.53","164998","82.5%","54.8%","27261","53.4%","40405","56.6%","67666","55.3%","97255","54.5%","0.8pp"
"Dissection Tools","","R","16835","1.40","14208","1.39","87685","98.9%","57.1%","14793","60.6%","21857","63.6%","36650","62.4%","50942","53.2%","9.2pp"
"Found Footage","","C","510876","8.33","65801","11.70","53673","13.6%","54.0%","9740","52.6%","12739","55.8%","22479","54.4%","31148","53.7%","0.7pp"
"Friendly Teddy","","C","505562","7.79","65966","11.06","90267","22.7%","52.5%","16246","51.3%","20552","51.9%","36798","51.7%","53394","53.1%","-1.4pp"
"Ghost Vacuum","","R","29071","2.30","11397","2.45","60017","87.6%","54.5%","10341","56.8%","14967","56.5%","25308","56.6%","34745","52.9%","3.7pp"
"Glimmerlight","","C","421282","5.30","92363","7.08","449606","79.1%","56.3%","81349","56.2%","106200","57.1%","187549","56.7%","261912","56.0%","0.7pp"
"Haunted Screen","","U","183224","5.91","21779","8.88","45904","35.5%","51.0%","8214","50.4%","11677","53.8%","19891","52.4%","26053","49.9%","2.5pp"
"Keys to the House","","U","195154","6.31","26329","9.22","59435","37.8%","51.9%","10976","50.5%","14531","51.9%","25507","51.3%","33912","52.3%","-1.0pp"
"Malevolent Chandelier","","C","510363","8.33","68395","11.62","71793","17.5%","52.4%","10911","47.2%","19055","53.6%","29966","51.2%","41982","53.1%","-1.9pp"
"Marvin, Murderous Mimic","","R","66929","4.76","7843","7.42","13714","29.4%","51.0%","2436","48.8%","3005","51.7%","5441","50.4%","8257","51.4%","-1.0pp"
"Saw","","U","203107","7.14","25450","10.37","29007","18.9%","53.2%","4692","51.2%","6711","53.6%","11403","52.6%","17603","53.5%","-0.9pp"
"Abandoned Campground","","C","238971","6.17","39584","8.68","155335","64.9%","54.9%","28970","56.2%","38036","54.1%","67006","55.0%","88273","54.8%","0.2pp"
"Blazemire Verge","","R","62719","4.26","10133","6.17","30989","50.9%","53.6%","5641","54.1%","7418","55.0%","13059","54.6%","17882","52.8%","1.8pp"
"Bleeding Woods","","C","244808","6.53","42377","9.06","152662","59.6%","54.3%","28057","54.7%","34048","52.8%","62105","53.6%","90487","54.7%","-1.0pp"
"Etched Cornfield","","C","249323","6.81","36404","9.70","96511","44.1%","52.3%","17717","54.1%","22328","51.5%","40045","52.7%","56408","52.1%","0.6pp"
"Floodfarm Verge","","R","59229","3.99","10070","5.72","37906","62.6%","54.7%","6939","55.6%","9320","55.0%","16259","55.2%","21624","54.3%","0.9pp"
"Gloomlake Verge","","R","61889","4.21","9921","6.12","28950","49.0%","52.3%","5262","53.4%","7620","54.3%","12882","53.9%","16019","50.9%","3.0pp"
"Hushwood Verge","","R","64159","4.34","9323","6.44","24873","44.6%","52.6%","4489","53.6%","5708","53.3%","10197","53.4%","14657","52.0%","1.4pp"
"Lakeside Shack","","C","241824","6.42","43403","8.82","166924","63.6%","54.8%","30983","56.2%","41860","54.7%","72843","55.3%","93995","54.3%","1.0pp"
"Murky Sewer","","C","244365","6.63","39479","9.25","118017","50.1%","52.8%","21419","54.1%","30200","54.0%","51619","54.0%","66257","51.9%","2.2pp"
