"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Tymna the Weaver","WB","R","6232","3.85","1219","4.80","4702","63.0%","55.0%","826","59.0%","1125","56.1%","1951","57.3%","2724","53.4%","3.9pp"
"Winota, Joiner of Forces","WR","R","4879","3.28","1645","3.47","7760","73.9%","58.5%","1329","64.9%","1977","64.0%","3306","64.4%","4462","54.0%","10.4pp"
"Traxos, Scourge of Kroog","","R","5045","3.04","1537","3.41","7901","85.5%","53.6%","1364","53.4%","1955","55.3%","3319","54.6%","4513","52.7%","1.9pp"
"Akroma's Will","W","M","3618","2.28","1964","2.24","11362","90.7%","57.8%","1885","61.0%","2856","65.4%","4741","63.6%","6545","53.5%","10.1pp"
"Danitha Capashen, Paragon","W","U","39918","3.22","8753","3.83","46255","86.2%","55.4%","8239","56.2%","10894","55.5%","19133","55.8%","27109","55.1%","0.7pp"
"Kenrith, the Returned King","W","R","2763","1.87","1526","1.85","8751","92.2%","55.3%","1498","55.0%","2255","61.2%","3753","58.7%","4934","52.3%","6.4pp"
"Loran of the Third Path","W","R","4726","2.83","1461","3.24","7918","85.7%","57.6%","1351","57.4%","1890","61.5%","3241","59.8%","4635","56.1%","3.7pp"
"Mangara, the Diplomat","W","R","3908","2.44","1086","2.71","5369","81.3%","53.1%","885","51.2%","1302","54.8%","2187","53.3%","3142","53.0%","0.3pp"
"Stroke of Midnight","W","U","61600","4.85","5339","7.63","16168","51.3%","50.7%","2720","46.5%","3899","51.1%","6619","49.2%","9498","51.8%","-2.6pp"
"Wall of Omens","W","U","64246","4.81","10342","6.49","41752","65.6%","55.8%","7624","57.2%","10052","57.9%","17676","57.6%","23874","54.4%","3.3pp"
"Brainstorm","U","U","69219","5.36","9138","8.03","24388","44.1%","53.1%","4236","51.3%","6596","55.0%","10832","53.6%","13387","52.7%","0.8pp"
"Cryptic Command","U","R","4528","2.82","1948","3.02","10743","86.6%","58.4%","1818","58.3%","3110","65.1%","4928","62.6%","5670","54.4%","8.2pp"
"Laboratory Maniac","U","U","87767","7.61","11328","11.04","4270","6.2%","50.4%","740","42.0%","1362","53.2%","2102","49.3%","2126","51.5%","-2.2pp"
"Rhystic Study","U","M","6589","4.11","816","5.81","1620","33.4%","45.2%","293","","404","","697","47.8%","911","43.5%","4.3pp"
"Teferi, Mage of Zhalfir","U","R","6944","4.22","1135","5.73","2992","43.6%","51.8%","492","","828","53.3%","1320","51.7%","1658","51.6%","0.0pp"
"Deadly Dispute","B","U","60558","4.35","11310","5.88","55014","79.4%","55.1%","9283","54.2%","13876","57.8%","23159","56.4%","31336","54.1%","2.2pp"
"Diabolic Intent","B","R","7849","4.80","864","7.41","1490","28.8%","49.5%","258","","380","","638","48.1%","843","50.4%","-2.3pp"
"Gix, Yawgmoth Praetor","B","M","3352","2.08","1633","2.10","9104","87.7%","56.0%","1622","60.4%","2316","58.8%","3938","59.4%","5047","53.4%","6.0pp"
"K'rrik, Son of Yawgmoth","B","R","7198","4.40","782","6.49","1442","31.4%","48.1%","236","","306","","542","44.6%","887","49.9%","-5.3pp"
"Varragoth, Bloodsky Sire","B","R","4359","2.64","1069","3.07","5463","85.9%","53.3%","946","50.0%","1420","55.1%","2366","53.0%","3029","53.4%","-0.3pp"
"Captain Lannery Storm","R","U","49673","3.69","10856","4.65","55026","81.9%","56.0%","9827","58.8%","13785","57.1%","23612","57.8%","31191","54.5%","3.2pp"
"Light Up the Stage","R","U","75224","5.84","10183","8.40","30449","48.7%","55.0%","5136","53.1%","7414","56.3%","12550","55.0%","17713","54.8%","0.2pp"
"Lightning Bolt","R","U","31094","2.47","12875","2.68","72255","89.1%","56.7%","12673","58.5%","18610","60.8%","31283","59.9%","40315","54.1%","5.8pp"
"Mizzix's Mastery","R","R","7566","4.52","1249","5.99","3353","44.9%","52.8%","571","48.5%","930","55.9%","1501","53.1%","1824","52.3%","0.8pp"
"Najeela, the Blade-Blossom","R","M","5979","3.57","1151","4.52","4204","61.3%","53.3%","760","54.1%","1072","53.8%","1832","53.9%","2360","52.6%","1.3pp"
"Ragavan, Nimble Pilferer","R","M","3091","1.89","1597","1.91","8378","84.8%","56.4%","1543","62.5%","2152","55.6%","3695","58.5%","4636","54.8%","3.7pp"
"Carpet of Flowers","G","R","10444","6.49","1148","10.13","109","1.6%","","14","","29","","43","","65","",""
"Farseek","G","U","64709","4.84","9627","6.65","40561","70.8%","53.4%","7263","53.3%","9857","52.7%","17120","52.9%","23274","53.7%","-0.7pp"
"Fynn, the Fangbearer","G","U","61980","4.64","10330","6.34","50415","80.5%","54.7%","9020","56.7%","12305","55.0%","21325","55.7%","28803","53.9%","1.9pp"
"Nature's Claim","G","U","83533","7.07","8402","10.86","7620","15.0%","52.0%","1233","47.4%","1931","54.2%","3164","51.5%","4423","52.3%","-0.8pp"
"Primeval Titan","G","R","2937","1.90","1541","1.95","8655","90.1%","56.2%","1475","59.0%","2259","62.1%","3734","60.8%","4826","52.6%","8.3pp"
"Atraxa, Grand Unifier","WUBG","M","3405","2.23","1907","2.10","10130","84.9%","56.0%","1693","63.4%","2903","68.1%","4596","66.4%","5359","46.7%","19.6pp"
"Bruse Tarl, Boorish Herder","WR","R","4457","2.98","1637","3.09","7958","76.9%","57.8%","1378","61.1%","1961","62.5%","3339","61.9%","4613","54.8%","7.1pp"
"Dovin's Veto","WU","U","85308","7.42","9274","11.11","5086","9.0%","49.1%","888","46.8%","1300","49.2%","2188","48.3%","2889","49.6%","-1.4pp"
"Inalla, Archmage Ritualist","UBR","R","8763","5.18","1236","7.64","1012","13.7%","46.5%","175","","263","","438","","565","45.5%",""
"Ishai, Ojutai Dragonspeaker","WU","R","8022","4.87","948","7.13","1675","29.9%","47.2%","275","","433","","708","45.5%","956","48.3%","-2.8pp"
"Isshin, Two Heavens as One","WBR","R","8739","5.31","992","8.16","501","8.3%","47.7%","85","","99","","184","","316","",""
"Kinnan, Bonder Prodigy","UG","M","8213","4.79","1389","6.42","3923","46.7%","55.2%","687","56.2%","1095","55.1%","1782","55.5%","2121","55.0%","0.5pp"
"Kraum, Ludevic's Opus","UR","R","5203","3.23","1598","3.53","7570","76.8%","54.8%","1280","53.0%","2179","59.2%","3459","56.9%","4060","52.8%","4.1pp"
"Muldrotha, the Gravetide","UBG","R","4373","2.87","1692","3.09","8584","82.7%","53.6%","1474","55.5%","2391","60.5%","3865","58.6%","4559","49.1%","9.5pp"
"Thrasios, Triton Hero","UG","M","7352","4.21","1546","5.29","6048","64.9%","54.2%","1071","52.5%","1623","56.6%","2694","55.0%","3308","53.3%","1.7pp"
"Vial Smasher the Fierce","BR","M","4487","2.79","1449","2.88","6836","77.4%","53.1%","1146","54.9%","1759","56.5%","2905","55.8%","3867","51.1%","4.8pp"
"Yuriko, the Tiger's Shadow","UB","R","6633","4.01","1325","5.10","4271","53.7%","50.6%","719","47.7%","1232","53.9%","1951","51.6%","2279","49.8%","1.9pp"
"Chromatic Lantern","","R","7206","4.20","843","5.97","2328","47.0%","48.9%","445","","582","49.1%","1027","48.4%","1281","49.3%","-0.9pp"
"Smuggler's Copter","","R","2470","1.60","2048","1.61","13129","99.0%","59.5%","2386","66.6%","3230","62.5%","5616","64.2%","6932","55.0%","9.2pp"
"Strixhaven Stadium","","U","87487","7.85","8946","11.82","1346","2.5%","47.3%","230","","323","","553","45.6%","781","48.3%","-2.7pp"
"Command Beacon","","R","11528","7.37","1422","10.79","25","0.3%","","6","","4","","10","","15","",""
