"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Worthy Cost","B","C","390858","6.53","38461","9.93","92445","40.0%","52.2%","15201","49.3%","21414","52.2%","36615","51.0%","55651","52.9%","-1.9pp"
"Yathan Tombguard","B","U","122058","4.65","15449","6.55","63899","69.3%","52.5%","11191","50.9%","14583","52.0%","25774","51.5%","38010","53.2%","-1.6pp"
"Breaching Dragonstorm","R","U","132735","5.42","20054","7.55","58721","49.3%","51.4%","10010","48.4%","15975","54.1%","25985","51.9%","32072","50.8%","1.1pp"
"Channeled Dragonfire","R","U","107911","3.85","23578","5.09","125054","85.9%","55.9%","21807","55.1%","31548","57.9%","53355","56.8%","71126","55.1%","1.7pp"
"Cori-Steel Cutter","R","R","17373","1.66","11286","1.66","65452","93.7%","56.3%","11570","60.4%","16663","59.3%","28233","59.8%","36593","53.4%","6.3pp"
"Devoted Duelist","R","C","393557","6.69","51384","9.61","163538","52.4%","53.8%","29257","52.8%","36883","52.3%","66140","52.5%","96980","54.6%","-2.1pp"
"Dracogenesis","R","M","33317","5.67","4139","8.89","273","1.1%","","40","","80","","120","","153","",""
"Equilibrium Adept","R","U","120713","4.42","26587","5.85","134224","82.1%","55.8%","22790","55.4%","34084","56.8%","56874","56.2%","76400","55.3%","0.9pp"
"Fire-Rim Form","R","C","427169","8.36","50713","11.84","51727","16.7%","54.5%","8504","52.3%","11107","53.3%","19611","52.9%","32091","55.5%","-2.6pp"
"Fleeting Effigy","R","U","135530","5.37","21569","7.33","86084","65.4%","55.6%","15457","56.0%","19127","54.7%","34584","55.3%","51270","55.7%","-0.5pp"
"Iridescent Tiger","R","U","150519","5.96","23534","8.44","70158","49.2%","54.2%","11744","53.6%","19057","57.4%","30801","55.9%","38621","52.6%","3.4pp"
"Jeskai Devotee","R","C","386011","6.22","63141","8.65","263888","68.3%","54.7%","48340","54.6%","64016","53.7%","112356","54.1%","150318","55.2%","-1.1pp"
"Magmatic Hellkite","R","R","18011","1.68","10716","1.71","60966","92.6%","55.7%","10256","57.0%","15850","59.4%","26106","58.5%","34208","53.5%","5.0pp"
"Meticulous Artisan","R","C","422476","7.80","53365","11.16","81328","24.9%","54.1%","13675","54.3%","21433","54.9%","35108","54.7%","45695","53.6%","1.1pp"
"Molten Exhale","R","C","190401","2.88","73360","3.38","430915","95.6%","55.8%","75236","56.0%","114548","58.4%","189784","57.5%","237566","54.2%","3.2pp"
"Narset's Rebuke","R","C","371520","5.68","60825","8.13","254567","69.0%","54.1%","42294","52.1%","72894","57.4%","115188","55.5%","138452","53.0%","2.5pp"
"Overwhelming Surge","R","U","108500","3.94","18765","5.44","89875","79.6%","53.5%","15456","52.2%","22986","54.9%","38442","53.8%","51028","53.1%","0.7pp"
"Rescue Leopard","R","C","416189","7.26","56470","10.44","127595","37.0%","54.0%","22225","53.4%","30355","53.0%","52580","53.2%","74685","54.5%","-1.3pp"
"Reverberating Summons","R","U","165112","7.41","19819","10.78","20739","17.3%","51.7%","3661","47.4%","4824","50.4%","8485","49.1%","12193","53.4%","-4.2pp"
"Sarkhan, Dragon Ascendant","R","R","27198","2.46","9282","2.71","46107","82.0%","54.6%","8162","56.7%","11772","56.2%","19934","56.4%","25856","53.0%","3.4pp"
"Seize Opportunity","R","C","423598","7.90","52100","11.32","70742","22.2%","53.9%","11793","50.3%","15704","52.8%","27497","51.8%","43347","55.3%","-3.5pp"
"Shock Brigade","R","C","310420","4.77","62663","6.16","332606","85.7%","56.4%","60696","57.6%","72463","54.7%","133159","56.0%","199027","56.7%","-0.7pp"
"Shocking Sharpshooter","R","U","82633","3.17","24992","3.69","141045","90.5%","56.7%","25371","59.0%","31801","56.8%","57172","57.8%","83574","56.0%","1.8pp"
